Game has not yet started

12:00 - 1st  Lakers-0 Trail Blazers-0

10:21 - 1st  Lakers-2 Trail Blazers-0

10:01 - 1st  Lakers-5 Trail Blazers-0

9:46 - 1st  Lakers-6 Trail Blazers-0

9:31 - 1st  Lakers-7 Trail Blazers-0

9:06 - 1st  Lakers-10 Trail Blazers-0

8:14 - 1st  Lakers-13 Trail Blazers-0

7:45 - 1st  Lakers-15 Trail Blazers-0

7:25 - 1st  Lakers-15 Trail Blazers-2

7:09 - 1st  Lakers-17 Trail Blazers-4

6:48 - 1st  Lakers-18 Trail Blazers-4

6:40 - 1st  Lakers-18 Trail Blazers-6

6:25 - 1st  Lakers-20 Trail Blazers-6

5:36 - 1st  Lakers-22 Trail Blazers-6

4:58 - 1st  Lakers-22 Trail Blazers-8

4:55 - 1st  Lakers-24 Trail Blazers-8

4:30 - 1st  Lakers-25 Trail Blazers-8

4:13 - 1st  Lakers-26 Trail Blazers-8

4:04 - 1st  Lakers-26 Trail Blazers-10

3:56 - 1st  Lakers-27 Trail Blazers-10

3:24 - 1st  Lakers-30 Trail Blazers-10

3:17 - 1st  Lakers-30 Trail Blazers-12

2:29 - 1st  Lakers-30 Trail Blazers-14

2:12 - 1st  Lakers-32 Trail Blazers-14

2:01 - 1st  Lakers-33 Trail Blazers-14

1:51 - 1st  Lakers-36 Trail Blazers-14

1:40 - 1st  Lakers-38 Trail Blazers-14

1:27 - 1st  Lakers-38 Trail Blazers-17

1:21 - 1st  Lakers-40 Trail Blazers-17

1:16 - 1st  Lakers-40 Trail Blazers-18

58.8 - 1st  Lakers-40 Trail Blazers-19

47.6 - 1st  Lakers-43 Trail Blazers-19

37.9 - 1st  Lakers-43 Trail Blazers-21

29.5 - 1st  Lakers-43 Trail Blazers-22

End of 1st
Lakers-43 Trail Blazers-25

12:00 - 2nd  Lakers-43 Trail Blazers-25

11:09 - 2nd  Lakers-46 Trail Blazers-25

10:55 - 2nd  Lakers-46 Trail Blazers-26

10:19 - 2nd  Lakers-46 Trail Blazers-29

10:04 - 2nd  Lakers-49 Trail Blazers-29

9:43 - 2nd  Lakers-49 Trail Blazers-31

9:16 - 2nd  Lakers-52 Trail Blazers-31

8:36 - 2nd  Lakers-52 Trail Blazers-33

8:33 - 2nd  Lakers-52 Trail Blazers-35

7:53 - 2nd  Lakers-56 Trail Blazers-35

7:01 - 2nd  Lakers-58 Trail Blazers-37

6:26 - 2nd  Lakers-58 Trail Blazers-39

6:14 - 2nd  Lakers-60 Trail Blazers-39

5:42 - 2nd  Lakers-60 Trail Blazers-40

5:09 - 2nd  Lakers-62 Trail Blazers-40

4:43 - 2nd  Lakers-62 Trail Blazers-42

3:56 - 2nd  Lakers-62 Trail Blazers-44

3:31 - 2nd  Lakers-64 Trail Blazers-44

3:19 - 2nd  Lakers-65 Trail Blazers-44

2:55 - 2nd  Lakers-65 Trail Blazers-46

2:45 - 2nd  Lakers-68 Trail Blazers-46

2:10 - 2nd  Lakers-70 Trail Blazers-46

1:29 - 2nd  Lakers-73 Trail Blazers-46

49.0 - 2nd  Lakers-76 Trail Blazers-46

29.1 - 2nd  Lakers-76 Trail Blazers-49

17.2 - 2nd  Lakers-78 Trail Blazers-49

1.4 - 2nd  Lakers-78 Trail Blazers-51

Halftime
Lakers-80 Trail Blazers-51

12:00 - 3rd  Lakers-80 Trail Blazers-51

11:39 - 3rd  Lakers-80 Trail Blazers-53

11:12 - 3rd  Lakers-82 Trail Blazers-53

10:26 - 3rd  Lakers-84 Trail Blazers-53

10:11 - 3rd  Lakers-86 Trail Blazers-53

9:45 - 3rd  Lakers-88 Trail Blazers-53

9:21 - 3rd  Lakers-91 Trail Blazers-53

8:54 - 3rd  Lakers-91 Trail Blazers-54

8:09 - 3rd  Lakers-92 Trail Blazers-54

8:08 - 3rd  Lakers-92 Trail Blazers-56

7:16 - 3rd  Lakers-92 Trail Blazers-57

7:03 - 3rd  Lakers-92 Trail Blazers-58

6:50 - 3rd  Lakers-94 Trail Blazers-61

6:37 - 3rd  Lakers-94 Trail Blazers-62

6:28 - 3rd  Lakers-94 Trail Blazers-65

6:16 - 3rd  Lakers-94 Trail Blazers-66

5:34 - 3rd  Lakers-96 Trail Blazers-66

5:18 - 3rd  Lakers-96 Trail Blazers-67

4:59 - 3rd  Lakers-96 Trail Blazers-68

4:35 - 3rd  Lakers-96 Trail Blazers-69

3:31 - 3rd  Lakers-99 Trail Blazers-71

3:11 - 3rd  Lakers-99 Trail Blazers-73

2:54 - 3rd  Lakers-101 Trail Blazers-73

2:28 - 3rd  Lakers-101 Trail Blazers-76

1:59 - 3rd  Lakers-101 Trail Blazers-78

1:46 - 3rd  Lakers-103 Trail Blazers-78

1:39 - 3rd  Lakers-103 Trail Blazers-80

1:31 - 3rd  Lakers-104 Trail Blazers-80

1:14 - 3rd  Lakers-104 Trail Blazers-82

54.8 - 3rd  Lakers-107 Trail Blazers-82

36.1 - 3rd  Lakers-109 Trail Blazers-82

27.4 - 3rd  Lakers-110 Trail Blazers-82

End of 3rd
Lakers-110 Trail Blazers-85

12:00 - 4th  Lakers-112 Trail Blazers-87

10:32 - 4th  Lakers-115 Trail Blazers-90

10:17 - 4th  Lakers-117 Trail Blazers-92

9:48 - 4th  Lakers-119 Trail Blazers-92

9:29 - 4th  Lakers-121 Trail Blazers-92

9:13 - 4th  Lakers-121 Trail Blazers-95

8:57 - 4th  Lakers-124 Trail Blazers-95

8:10 - 4th  Lakers-124 Trail Blazers-97

7:35 - 4th  Lakers-126 Trail Blazers-97

6:41 - 4th  Lakers-126 Trail Blazers-100

5:46 - 4th  Lakers-126 Trail Blazers-101

4:43 - 4th  Lakers-128 Trail Blazers-101

4:27 - 4th  Lakers-129 Trail Blazers-101

3:29 - 4th  Lakers-129 Trail Blazers-104

2:33 - 4th  Lakers-129 Trail Blazers-106

