12:00 - 1st  Trail Blazers-0 Lakers-0

11:22 - 1st  Trail Blazers-2 Lakers-0

10:55 - 1st  Trail Blazers-4 Lakers-2

10:28 - 1st  Trail Blazers-4 Lakers-4

10:17 - 1st  Trail Blazers-4 Lakers-5

10:00 - 1st  Trail Blazers-6 Lakers-5

9:03 - 1st  Trail Blazers-6 Lakers-8

8:57 - 1st  Trail Blazers-7 Lakers-8

8:30 - 1st  Trail Blazers-8 Lakers-8

8:19 - 1st  Trail Blazers-8 Lakers-10

7:57 - 1st  Trail Blazers-10 Lakers-10

7:37 - 1st  Trail Blazers-10 Lakers-12

7:07 - 1st  Trail Blazers-12 Lakers-12

6:54 - 1st  Trail Blazers-12 Lakers-14

6:36 - 1st  Trail Blazers-15 Lakers-16

6:24 - 1st  Trail Blazers-16 Lakers-16

6:01 - 1st  Trail Blazers-17 Lakers-16

5:47 - 1st  Trail Blazers-19 Lakers-16

4:59 - 1st  Trail Blazers-21 Lakers-16

4:42 - 1st  Trail Blazers-21 Lakers-18

4:12 - 1st  Trail Blazers-22 Lakers-18

3:59 - 1st  Trail Blazers-24 Lakers-18

3:03 - 1st  Trail Blazers-24 Lakers-21

2:53 - 1st  Trail Blazers-24 Lakers-22

2:41 - 1st  Trail Blazers-24 Lakers-23

2:18 - 1st  Trail Blazers-24 Lakers-25

1:57 - 1st  Trail Blazers-24 Lakers-26

1:50 - 1st  Trail Blazers-24 Lakers-28

1:41 - 1st  Trail Blazers-24 Lakers-29

1:20 - 1st  Trail Blazers-24 Lakers-31

59.9 - 1st  Trail Blazers-25 Lakers-31

9.0 - 1st  Trail Blazers-27 Lakers-31

4.8 - 1st  Trail Blazers-30 Lakers-33

0.0 - 1st  Trail Blazers-31 Lakers-35

End of 1st
Trail Blazers-31 Lakers-35

10:38 - 2nd  Trail Blazers-31 Lakers-38

10:34 - 2nd  Trail Blazers-34 Lakers-38

10:05 - 2nd  Trail Blazers-34 Lakers-40

9:27 - 2nd  Trail Blazers-37 Lakers-40

9:14 - 2nd  Trail Blazers-40 Lakers-42

9:01 - 2nd  Trail Blazers-40 Lakers-43

8:33 - 2nd  Trail Blazers-43 Lakers-43

8:20 - 2nd  Trail Blazers-43 Lakers-45

7:50 - 2nd  Trail Blazers-43 Lakers-47

7:37 - 2nd  Trail Blazers-45 Lakers-47

6:51 - 2nd  Trail Blazers-48 Lakers-47

6:18 - 2nd  Trail Blazers-50 Lakers-47

6:03 - 2nd  Trail Blazers-50 Lakers-50

5:24 - 2nd  Trail Blazers-53 Lakers-50

5:12 - 2nd  Trail Blazers-55 Lakers-50

4:26 - 2nd  Trail Blazers-55 Lakers-52

4:14 - 2nd  Trail Blazers-57 Lakers-52

3:43 - 2nd  Trail Blazers-57 Lakers-55

3:30 - 2nd  Trail Blazers-59 Lakers-55

2:52 - 2nd  Trail Blazers-61 Lakers-57

2:25 - 2nd  Trail Blazers-64 Lakers-59

2:00 - 2nd  Trail Blazers-67 Lakers-59

1:43 - 2nd  Trail Blazers-67 Lakers-61

1:26 - 2nd  Trail Blazers-68 Lakers-61

59.0 - 2nd  Trail Blazers-68 Lakers-63

16.8 - 2nd  Trail Blazers-68 Lakers-65

Halftime
Trail Blazers-68 Lakers-68

12:00 - 3rd  Trail Blazers-68 Lakers-68

11:26 - 3rd  Trail Blazers-68 Lakers-70

11:07 - 3rd  Trail Blazers-68 Lakers-73

10:56 - 3rd  Trail Blazers-70 Lakers-73

10:37 - 3rd  Trail Blazers-70 Lakers-75

9:45 - 3rd  Trail Blazers-72 Lakers-75

9:13 - 3rd  Trail Blazers-72 Lakers-77

8:40 - 3rd  Trail Blazers-73 Lakers-77

8:33 - 3rd  Trail Blazers-75 Lakers-77

8:17 - 3rd  Trail Blazers-76 Lakers-77

8:01 - 3rd  Trail Blazers-76 Lakers-80

7:33 - 3rd  Trail Blazers-76 Lakers-81

6:55 - 3rd  Trail Blazers-76 Lakers-87

5:58 - 3rd  Trail Blazers-76 Lakers-90

5:41 - 3rd  Trail Blazers-77 Lakers-90

5:20 - 3rd  Trail Blazers-78 Lakers-90

5:11 - 3rd  Trail Blazers-79 Lakers-90

4:40 - 3rd  Trail Blazers-79 Lakers-91

4:26 - 3rd  Trail Blazers-79 Lakers-92

3:55 - 3rd  Trail Blazers-81 Lakers-92

3:37 - 3rd  Trail Blazers-82 Lakers-92

3:24 - 3rd  Trail Blazers-82 Lakers-94

3:07 - 3rd  Trail Blazers-84 Lakers-95

3:05 - 3rd  Trail Blazers-84 Lakers-96

2:03 - 3rd  Trail Blazers-85 Lakers-96

1:59 - 3rd  Trail Blazers-86 Lakers-96

1:58 - 3rd  Trail Blazers-86 Lakers-97

1:36 - 3rd  Trail Blazers-88 Lakers-97

31.9 - 3rd  Trail Blazers-90 Lakers-97

11.0 - 3rd  Trail Blazers-92 Lakers-97

0.0 - 3rd  Trail Blazers-92 Lakers-100

End of 3rd
Trail Blazers-92 Lakers-100

11:39 - 4th  Trail Blazers-94 Lakers-100

11:17 - 4th  Trail Blazers-95 Lakers-100

9:54 - 4th  Trail Blazers-97 Lakers-100

9:44 - 4th  Trail Blazers-100 Lakers-100

9:07 - 4th  Trail Blazers-100 Lakers-103

8:48 - 4th  Trail Blazers-100 Lakers-105

8:33 - 4th  Trail Blazers-101 Lakers-105

8:21 - 4th  Trail Blazers-102 Lakers-105

8:08 - 4th  Trail Blazers-102 Lakers-107

7:33 - 4th  Trail Blazers-104 Lakers-107

7:07 - 4th  Trail Blazers-106 Lakers-107

6:43 - 4th  Trail Blazers-106 Lakers-109

6:36 - 4th  Trail Blazers-109 Lakers-109

6:10 - 4th  Trail Blazers-109 Lakers-112

5:10 - 4th  Trail Blazers-109 Lakers-114

4:30 - 4th  Trail Blazers-112 Lakers-116

4:20 - 4th  Trail Blazers-112 Lakers-117

4:16 - 4th  Trail Blazers-112 Lakers-118

3:56 - 4th  Trail Blazers-112 Lakers-121

3:19 - 4th  Trail Blazers-112 Lakers-123

2:50 - 4th  Trail Blazers-112 Lakers-125

2:32 - 4th  Trail Blazers-114 Lakers-125

2:19 - 4th  Trail Blazers-114 Lakers-127

1:45 - 4th  Trail Blazers-114 Lakers-128

1:44 - 4th  Trail Blazers-114 Lakers-129

1:20 - 4th  Trail Blazers-116 Lakers-129

1:07 - 4th  Trail Blazers-116 Lakers-131

44.1 - 4th  Trail Blazers-118 Lakers-131

Final  Trail Blazers-122 Lakers-131
