Game has not yet started

12:00 - 1st  Nuggets-0 Jazz-0

11:43 - 1st  Nuggets-0 Jazz-2

11:06 - 1st  Nuggets-0 Jazz-5

11:00 - 1st  Nuggets-3 Jazz-5

10:33 - 1st  Nuggets-3 Jazz-7

10:15 - 1st  Nuggets-6 Jazz-7

9:52 - 1st  Nuggets-6 Jazz-9

9:49 - 1st  Nuggets-8 Jazz-9

9:37 - 1st  Nuggets-8 Jazz-11

9:19 - 1st  Nuggets-8 Jazz-12

9:06 - 1st  Nuggets-8 Jazz-15

8:24 - 1st  Nuggets-10 Jazz-15

8:02 - 1st  Nuggets-10 Jazz-18

7:30 - 1st  Nuggets-12 Jazz-18

7:19 - 1st  Nuggets-12 Jazz-19

6:48 - 1st  Nuggets-13 Jazz-19

6:27 - 1st  Nuggets-14 Jazz-19

6:07 - 1st  Nuggets-14 Jazz-21

5:38 - 1st  Nuggets-14 Jazz-23

5:10 - 1st  Nuggets-16 Jazz-23

4:00 - 1st  Nuggets-16 Jazz-26

3:50 - 1st  Nuggets-18 Jazz-26

3:35 - 1st  Nuggets-18 Jazz-28

3:03 - 1st  Nuggets-21 Jazz-28

1:57 - 1st  Nuggets-23 Jazz-28

1:29 - 1st  Nuggets-23 Jazz-30

1:13 - 1st  Nuggets-23 Jazz-32

58.6 - 1st  Nuggets-26 Jazz-32

57.1 - 1st  Nuggets-26 Jazz-33

49.0 - 1st  Nuggets-27 Jazz-33

31.7 - 1st  Nuggets-28 Jazz-33

13.2 - 1st  Nuggets-28 Jazz-36

0.0 - 1st  Nuggets-29 Jazz-36

End of 1st
Nuggets-30 Jazz-36

12:00 - 2nd  Nuggets-30 Jazz-36

11:09 - 2nd  Nuggets-33 Jazz-36

11:08 - 2nd  Nuggets-35 Jazz-36

10:34 - 2nd  Nuggets-35 Jazz-39

10:21 - 2nd  Nuggets-37 Jazz-39

10:08 - 2nd  Nuggets-39 Jazz-39

9:15 - 2nd  Nuggets-40 Jazz-39

8:42 - 2nd  Nuggets-42 Jazz-39

8:21 - 2nd  Nuggets-45 Jazz-41

7:51 - 2nd  Nuggets-45 Jazz-42

7:41 - 2nd  Nuggets-45 Jazz-43

7:33 - 2nd  Nuggets-46 Jazz-43

6:56 - 2nd  Nuggets-46 Jazz-45

6:30 - 2nd  Nuggets-48 Jazz-45

6:15 - 2nd  Nuggets-50 Jazz-45

5:43 - 2nd  Nuggets-52 Jazz-45

5:16 - 2nd  Nuggets-52 Jazz-46

4:45 - 2nd  Nuggets-54 Jazz-46

4:28 - 2nd  Nuggets-54 Jazz-49

3:51 - 2nd  Nuggets-56 Jazz-49

3:11 - 2nd  Nuggets-59 Jazz-49

2:53 - 2nd  Nuggets-59 Jazz-51

2:28 - 2nd  Nuggets-61 Jazz-51

1:58 - 2nd  Nuggets-61 Jazz-54

Halftime
Nuggets-61 Jazz-55

12:00 - 3rd  Nuggets-61 Jazz-56

10:15 - 3rd  Nuggets-62 Jazz-56

10:00 - 3rd  Nuggets-63 Jazz-56

9:40 - 3rd  Nuggets-63 Jazz-58

9:15 - 3rd  Nuggets-66 Jazz-58

8:56 - 3rd  Nuggets-66 Jazz-60

8:50 - 3rd  Nuggets-66 Jazz-63

7:34 - 3rd  Nuggets-68 Jazz-63

7:23 - 3rd  Nuggets-68 Jazz-66

7:10 - 3rd  Nuggets-70 Jazz-66

