Game has not yet started

12:00 - 1st  Mavericks-0 Clippers-0

11:25 - 1st  Mavericks-3 Clippers-0

11:11 - 1st  Mavericks-3 Clippers-2

10:57 - 1st  Mavericks-6 Clippers-2

10:23 - 1st  Mavericks-8 Clippers-2

10:03 - 1st  Mavericks-8 Clippers-3

9:53 - 1st  Mavericks-8 Clippers-4

9:35 - 1st  Mavericks-11 Clippers-5

9:19 - 1st  Mavericks-11 Clippers-7

8:26 - 1st  Mavericks-13 Clippers-7

8:08 - 1st  Mavericks-13 Clippers-9

7:57 - 1st  Mavericks-16 Clippers-9

7:45 - 1st  Mavericks-16 Clippers-11

7:41 - 1st  Mavericks-16 Clippers-13

7:03 - 1st  Mavericks-16 Clippers-15

6:11 - 1st  Mavericks-16 Clippers-17

5:49 - 1st  Mavericks-16 Clippers-20

5:22 - 1st  Mavericks-16 Clippers-23

5:09 - 1st  Mavericks-16 Clippers-25

4:46 - 1st  Mavericks-16 Clippers-27

4:40 - 1st  Mavericks-16 Clippers-28

4:30 - 1st  Mavericks-18 Clippers-28

4:15 - 1st  Mavericks-18 Clippers-31

4:04 - 1st  Mavericks-18 Clippers-33

2:38 - 1st  Mavericks-20 Clippers-33

1:59 - 1st  Mavericks-20 Clippers-36

1:43 - 1st  Mavericks-21 Clippers-36

33.6 - 1st  Mavericks-21 Clippers-39

32.0 - 1st  Mavericks-22 Clippers-39

End of 1st
Mavericks-22 Clippers-41

12:00 - 2nd  Mavericks-22 Clippers-41

11:20 - 2nd  Mavericks-23 Clippers-41

11:05 - 2nd  Mavericks-24 Clippers-41

10:53 - 2nd  Mavericks-26 Clippers-41

10:24 - 2nd  Mavericks-26 Clippers-43

10:19 - 2nd  Mavericks-26 Clippers-45

9:58 - 2nd  Mavericks-26 Clippers-46

9:25 - 2nd  Mavericks-27 Clippers-46

9:12 - 2nd  Mavericks-29 Clippers-48

8:28 - 2nd  Mavericks-31 Clippers-48

8:10 - 2nd  Mavericks-31 Clippers-50

8:00 - 2nd  Mavericks-31 Clippers-53

7:24 - 2nd  Mavericks-33 Clippers-53

7:12 - 2nd  Mavericks-33 Clippers-56

6:53 - 2nd  Mavericks-35 Clippers-56

6:30 - 2nd  Mavericks-37 Clippers-56

6:04 - 2nd  Mavericks-40 Clippers-58

5:55 - 2nd  Mavericks-42 Clippers-58

5:45 - 2nd  Mavericks-42 Clippers-60

5:25 - 2nd  Mavericks-42 Clippers-63

4:28 - 2nd  Mavericks-42 Clippers-66

3:58 - 2nd  Mavericks-42 Clippers-69

3:40 - 2nd  Mavericks-44 Clippers-69

3:14 - 2nd  Mavericks-44 Clippers-71

2:42 - 2nd  Mavericks-47 Clippers-71

2:06 - 2nd  Mavericks-47 Clippers-72

1:51 - 2nd  Mavericks-47 Clippers-74

1:33 - 2nd  Mavericks-49 Clippers-74

1:23 - 2nd  Mavericks-49 Clippers-76

57.8 - 2nd  Mavericks-50 Clippers-76

48.6 - 2nd  Mavericks-51 Clippers-76

3.4 - 2nd  Mavericks-52 Clippers-76

Halftime
Mavericks-52 Clippers-76

11:10 - 3rd  Mavericks-52 Clippers-78

11:05 - 3rd  Mavericks-52 Clippers-81

10:45 - 3rd  Mavericks-52 Clippers-82

10:35 - 3rd  Mavericks-52 Clippers-83

10:25 - 3rd  Mavericks-54 Clippers-83

10:20 - 3rd  Mavericks-54 Clippers-85

10:00 - 3rd  Mavericks-54 Clippers-87

9:40 - 3rd  Mavericks-57 Clippers-87

9:33 - 3rd  Mavericks-60 Clippers-87

8:36 - 3rd  Mavericks-63 Clippers-90

8:03 - 3rd  Mavericks-65 Clippers-90

7:11 - 3rd  Mavericks-65 Clippers-93

7:08 - 3rd  Mavericks-66 Clippers-93

6:42 - 3rd  Mavericks-68 Clippers-93

6:26 - 3rd  Mavericks-69 Clippers-93

6:00 - 3rd  Mavericks-69 Clippers-95

5:59 - 3rd  Mavericks-69 Clippers-97

5:42 - 3rd  Mavericks-70 Clippers-97

5:24 - 3rd  Mavericks-73 Clippers-97

4:53 - 3rd  Mavericks-73 Clippers-100

4:49 - 3rd  Mavericks-75 Clippers-100

4:38 - 3rd  Mavericks-75 Clippers-101

4:14 - 3rd  Mavericks-75 Clippers-102

3:39 - 3rd  Mavericks-77 Clippers-104

3:12 - 3rd  Mavericks-79 Clippers-104

2:53 - 3rd  Mavericks-80 Clippers-104

2:39 - 3rd  Mavericks-81 Clippers-104

1:41 - 3rd  Mavericks-81 Clippers-107

1:22 - 3rd  Mavericks-84 Clippers-107

1:09 - 3rd  Mavericks-84 Clippers-109

38.8 - 3rd  Mavericks-86 Clippers-109

19.7 - 3rd  Mavericks-86 Clippers-111

End of 3rd
Mavericks-86 Clippers-111

11:21 - 4th  Mavericks-89 Clippers-111

11:07 - 4th  Mavericks-89 Clippers-113

10:57 - 4th  Mavericks-91 Clippers-115

10:42 - 4th  Mavericks-91 Clippers-116

10:19 - 4th  Mavericks-93 Clippers-119

9:59 - 4th  Mavericks-93 Clippers-121

8:53 - 4th  Mavericks-93 Clippers-123

8:37 - 4th  Mavericks-94 Clippers-123

8:26 - 4th  Mavericks-94 Clippers-126

8:07 - 4th  Mavericks-96 Clippers-127

7:54 - 4th  Mavericks-96 Clippers-128

7:15 - 4th  Mavericks-96 Clippers-130

6:57 - 4th  Mavericks-96 Clippers-131

6:42 - 4th  Mavericks-98 Clippers-131

6:19 - 4th  Mavericks-100 Clippers-131

4:29 - 4th  Mavericks-102 Clippers-134

4:11 - 4th  Mavericks-103 Clippers-134

3:58 - 4th  Mavericks-104 Clippers-134

3:49 - 4th  Mavericks-104 Clippers-136

3:25 - 4th  Mavericks-104 Clippers-139

3:08 - 4th  Mavericks-104 Clippers-140

3:00 - 4th  Mavericks-104 Clippers-141

2:47 - 4th  Mavericks-104 Clippers-144

2:28 - 4th  Mavericks-106 Clippers-144

2:14 - 4th  Mavericks-106 Clippers-146

1:46 - 4th  Mavericks-106 Clippers-148

1:37 - 4th  Mavericks-106 Clippers-150

1:31 - 4th  Mavericks-106 Clippers-151

1:10 - 4th  Mavericks-107 Clippers-151

49.7 - 4th  Mavericks-109 Clippers-151

37.5 - 4th  Mavericks-109 Clippers-154

29.6 - 4th  Mavericks-111 Clippers-154

Final  Mavericks-111 Clippers-154
